"PVWatts Hourly PV Performance Data"
"Requested Location","47.14817909516576, -71.26903775539678"
"Location","Lat, Lng: 47.13, -71.26"
"Latitude (DD)","47.13"
"Longitude (DD)","-71.26"
"Elevation (m)","647.84997558594"
"DC System Size (kW)","496.3"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"6","17","6","652","91","13","0.8","0.12","307.7","22.774","124365.715","117991.827"
"6","17","7","747","107","15","0.7","0.12","513.311","32.001","213312.624","203786.993"
"6","17","8","813","115","17","0.7","0.12","706.172","40.333","282064.504","270102.721"
"6","17","9","853","121","19","0.7","0.12","860.728","47.393","331770.643","318047.573"
"6","17","10","905","106","20","0.8","0.12","977.295","51.349","368778.266","353743.87"
"6","17","11","908","111","20","0.8","0.12","1024.206","52.839","383096.852","367555.091"
"6","17","12","900","113","21","0.9","0.12","1006.593","52.437","377422.206","362081.521"
"6","17","13","881","114","21","1","0.12","928.933","49.295","354237.011","339717.87"
"6","17","14","314","343","21","1.1","0.12","594.792","38.637","235512.746","225200.477"
"6","17","15","326","270","20","1","0.12","473.268","34.423","191683.554","182924.327"
"6","17","16","711","98","19","0.9","0.12","416.936","32.048","170578.704","162567.306"
"6","17","17","587","80","18","0.7","0.12","214.613","24.862","79362.391","74583.15"
"6","17","18","380","53","17","0.6","0.12","52.076","18.669","17225.125","14647.655"
"6","17","19","40","9","15","0.7","0.12","8.562","15.258","2401.629","349.414"
"6","17","20","0","0","15","0.8","0.12","0","15","0","0"
"6","17","21","0","0","15","0.9","0.12","0","15","0","0"
"6","17","22","0","0","14","0.9","0.12","0","14","0","0"
"6","17","23","0","0","13","0.9","0.12","0","13","0","0"
"6","18","0","0","0","13","0.9","0.12","0","13","0","0"
"6","18","1","0","0","12","0.8","0.12","0","12","0","0"
"6","18","2","0","0","12","0.8","0.12","0","12","0","0"
"6","18","3","0","0","12","0.8","0.12","0","12","0","0"
"6","18","4","14","28","12","0.9","0.12","25.025","12.763","9100.048","6810.481"
"6","18","5","218","87","12","1","0.12","102.599","15.031","38416.991","35088.609"
"6","18","6","652","81","13","1","0.12","297.784","21.974","120411.207","114177.443"
"6","18","7","630","138","15","1","0.12","479.561","29.666","200525.769","191453.228"
"6","18","8","550","226","17","1","0.12","625.065","36.055","252570.914","241654.206"
"6","18","9","521","298","18","1","0.12","756.59","41.015","297515.465","285006.193"
"6","18","10","460","363","19","1","0.12","819.074","43.877","316539.9","303356.517"
"6","18","11","425","390","20","1","0.12","834.285","45.322","319712.603","306416.798"
"6","18","12","332","424","20","0.9","0.12","763.235","43.758","293992.38","281607.945"
"6","18","13","394","363","21","0.9","0.12","731.615","43.802","283022.086","271026.372"
"6","18","14","521","270","20","0.9","0.12","694.635","41.698","273187.766","261540.522"
"6","18","15","672","155","20","0.9","0.12","590.54","38.504","237772.673","227380.326"
"6","18","16","467","161","19","0.8","0.12","365.895","30.754","149933.736","142653.872"
"6","18","17","659","67","18","0.7","0.12","220.456","25.025","80626.986","75802.935"
"6","18","18","471","44","16","0.7","0.12","46.821","17.413","14171.588","11702.316"
"6","18","19","86","10","14","0.7","0.12","9.513","14.287","2695.695","633.059"
"6","18","20","0","0","13","0.8","0.12","0","13","0","0"
"6","18","21","0","0","13","0.9","0.12","0","13","0","0"
"6","18","22","0","0","12","0.8","0.12","0","12","0","0"
"6","18","23","0","0","12","0.7","0.12","0","12","0","0"
"6","19","0","0","0","11","0.7","0.12","0","11","0","0"
"6","19","1","0","0","11","0.7","0.12","0","11","0","0"
"6","19","2","0","0","11","0.7","0.12","0","11","0","0"
"6","19","3","0","0","11","0.7","0.12","0","11","0","0"
"6","19","4","5","28","11","0.8","0.12","25.42","11.796","9276.936","6981.101"
"6","19","5","0","29","12","1","0.12","26.861","12.821","10830.399","8479.519"
"6","19","6","355","144","14","1.1","0.12","254.526","21.516","104413.906","98746.99"
"6","19","7","45","227","15","1.1","0.12","238.03","22.068","99241.559","93757.919"
"6","19","8","16","238","16","1.2","0.12","234.869","22.785","96490.52","91104.361"
"6","19","9","70","371","18","1.4","0.12","420.891","29.585","170135.396","162139.706"
"6","19","10","13","238","19","1.6","0.12","236.966","25.224","95383.032","90036.116"
"6","19","11","30","365","19","1.8","0.12","388.065","28.759","155919.666","148427.696"
"6","19","12","15","270","19","1.8","0.12","270.364","25.799","108880.455","103055.271"
"6","19","13","2","140","19","1.7","0.12","132.828","22.414","53022.983","49177.052"
"6","19","14","11","220","19","1.7","0.12","215.439","24.546","87263.391","82204.186"
"6","19","15","1","152","19","1.7","0.12","142.411","22.674","57709.812","53697.808"
"6","19","16","0","139","18","1.4","0.12","129.017","21.569","52919.374","49077.114"
"6","19","17","0","18","18","1.2","0.12","16.665","18.485","6402.72","4208.73"
"6","19","18","244","66","17","1.1","0.12","58.653","18.69","21132.87","18416.932"
"6","19","19","8","6","17","1","0.12","5.708","17.159","1552.82","0"
"6","19","20","0","0","17","0.9","0.12","0","17","0","0"
"6","19","21","0","0","17","0.9","0.12","0","17","0","0"
"6","19","22","0","0","17","0.9","0.12","0","17","0","0"
"6","19","23","0","0","17","1.1","0.12","0","17","0","0"
"6","20","0","0","0","17","1.1","0.12","0","17","0","0"
"6","20","1","0","0","16","1","0.12","0","16","0","0"
"6","20","2","0","0","16","0.9","0.12","0","16","0","0"
"6","20","3","0","0","16","0.9","0.12","0","16","0","0"
"6","20","4","151","31","16","1","0.12","23.544","16.699","8352.22","6089.152"
"6","20","5","0","62","17","1.2","0.12","57.113","18.661","23199.885","20410.704"
"6","20","6","595","99","18","1.2","0.12","294.663","26.459","117400.464","111273.383"
"6","20","7","6","172","20","1.2","0.12","163.384","24.732","66409.989","62089.703"
"6","20","8","30","271","21","1.3","0.12","280.722","28.92","113227.795","107248.568"
"6","20","9","455","315","22","1.2","0.12","716.108","42.724","279325.403","267460.677"
"6","20","10","881","106","22","1.2","0.12","953.721","49.637","362593.425","347778.182"
"6","20","11","59","422","23","1.2","0.12","474.885","36.678","185842.763","177290.499"
"6","20","12","898","101","23","1.4","0.12","992.779","50.436","375573.94","360298.746"
"6","20","13","869","109","23","1.4","0.12","913.794","48.269","350039.331","335668.929"
"6","20","14","846","103","23","1.4","0.12","786.538","44.779","307519.181","294655.437"
"6","20","15","801","97","22","1.2","0.12","616.473","39.931","247538.276","236799.895"
"6","20","16","715","90","22","1","0.12","413.546","34.616","167545.244","159641.334"
"6","20","17","585","76","21","0.7","0.12","211.982","27.779","77449.372","72737.917"
"6","20","18","379","50","19","0.5","0.12","50.287","20.646","16102.87","13565.165"
"6","20","19","0","10","17","0.5","0.12","9.513","17.303","2654.795","593.609"
"6","20","20","0","0","16","0.5","0.12","0","16","0","0"
"6","20","21","0","0","15","0.4","0.12","0","15","0","0"
"6","20","22","0","0","14","0.4","0.12","0","14","0","0"
"6","20","23","0","0","14","0.4","0.12","0","14","0","0"
"6","21","0","0","0","13","0.3","0.12","0","13","0","0"
"6","21","1","0","0","13","0.3","0.12","0","13","0","0"
"6","21","2","0","0","13","0.4","0.12","0","13","0","0"
"6","21","3","0","0","13","0.4","0.12","0","13","0","0"
